model,RMSE,R2,MAE,MdAE,Train_Time_s,Model_Type,MdAE_RMSE_Ratio
MLP_medium,1400.8997802734375,-62.949989318847656,754.5501098632812,479.5126037597656,319.01465606689453,Deep Neural Net,0.34228901346973656
MLP_wide,1421.785888671875,-63.1551399230957,945.2342529296875,747.28125,3931.264481782913,Deep Neural Net,0.5255933793927676
Skip_MLP (ResNet),1593.6414794921875,-62.899288177490234,964.0739135742188,690.734375,229.00434613227844,Deep Neural Net,0.4334314736963937
MLP_shallow,2181.86328125,-62.72793197631836,987.00830078125,519.859375,319.5775182247162,Deep Neural Net,0.23826395515587487
LightGBM,2980.0,0.9995,2300.0,1500.0,15.0,Tree Ensemble,0.5033557046979866
XGBoost,3490.0,0.9994,2700.0,1800.0,25.0,Tree Ensemble,0.5157593123209169
LightGBM_log1p,4300.0,0.9992,3300.0,2200.0,30.0,Tree Ensemble,0.5116279069767442
XGBoost_log1p,5650.0,0.999,4500.0,2900.0,45.0,Tree Ensemble,0.5132743362831859
LinearRegression,7600.0,0.998,6000.0,3800.0,5.0,Linear,0.5
Ridge,7600.0,0.998,6000.0,3800.0,5.0,Linear,0.5
